utime,vel vx,vel vy,vel wz,apriltag 1 id,apriltag 1 latitude,apriltag 1 longitude,apriltag 2 id,apriltag 2 latitude,apriltag 2 longitude,odometry x,odometry y,odometry theta
1713214583460689,0.0,0.0,-0.0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
1713214583477858,None,None,None,1,-257.01177978515625,1635.296875,2,131.1330108642578,1636.0360107421875,None,None,None
1713214583501060,0.0,0.0,-0.0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
1713214583509763,None,None,None,1,-257.009033203125,1635.24951171875,2,131.1340789794922,1636.0550537109375,None,None,None
1713214583537805,None,None,None,1,-257.01409912109375,1635.291015625,2,131.2685546875,1637.02392578125,None,None,None
1713214583541594,0.0,0.0,-0.0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
1713214583572345,None,None,None,1,-256.7790222167969,1634.47607421875,2,131.12208557128906,1635.8629150390625,None,None,None
1713214583582032,0.0,0.0,-0.0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
1713214583604400,None,None,None,1,-256.9926452636719,1635.128173828125,2,131.13807678222656,1636.0654296875,None,None,None
1713214583623058,0.0,0.0,-0.0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
1713214583630570,None,None,None,1,-257.0025939941406,1635.1824951171875,2,131.14479064941406,1636.1961669921875,None,None,None
1713214583656073,None,None,None,1,-256.99591064453125,1635.1529541015625,2,131.13125610351562,1636.0142822265625,None,None,None
1713214583663496,0.0,0.0,-0.0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
1713214583682951,None,None,None,1,-257.02978515625,1635.37646484375,2,131.14093017578125,1636.19091796875,None,None,None
1713214583703892,0.0,0.0,-0.0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
1713214583708691,None,None,None,1,-257.0502624511719,1635.4981689453125,2,131.14447021484375,1636.198486328125,None,None,None
1713214583736040,None,None,None,1,-257.0223083496094,1635.2967529296875,2,131.16131591796875,1636.429931640625,None,None,None
1713214583744429,0.0,0.0,-0.0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
1713214583761616,None,None,None,1,-257.0440979003906,1635.453369140625,2,131.1693115234375,1636.5419921875,None,None,None
1713214583784862,0.0,0.0,-0.0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
1713214583788833,None,None,None,1,-257.0362854003906,1635.4052734375,2,131.16360473632812,1636.4881591796875,None,None,None
1713214583815626,None,None,None,1,-256.79510498046875,1634.565185546875,2,131.16848754882812,1636.524658203125,None,None,None
1713214583825256,0.0,0.0,-0.0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
1713214583842021,None,None,None,1,-257.0621643066406,1635.5247802734375,2,131.1719207763672,1636.56298828125,None,None,None
1713214583865712,0.0,0.0,-0.0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
1713214583867575,None,None,None,1,-257.05328369140625,1635.481689453125,2,131.16339111328125,1636.4307861328125,None,None,None
1713214583894718,None,None,None,1,-257.0373229980469,1635.3896484375,2,131.3592071533203,1637.130126953125,None,None,None
1713214583906097,0.0,0.0,-0.0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
1713214583920020,None,None,None,1,-256.7460021972656,1634.2484130859375,2,131.1793212890625,1636.6468505859375,None,None,None
1713214583946359,None,None,None,1,-256.99871826171875,1635.1492919921875,2,131.1736602783203,1636.589111328125,None,None,None
1713214583947226,0.0,0.0,-0.0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
1713214583972169,None,None,None,1,-257.01806640625,1635.2669677734375,2,131.1637420654297,1636.4503173828125,None,None,None
1713214583987644,0.0,0.0,-0.0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
1713214583999624,None,None,None,1,-257.0078430175781,1635.21337890625,2,131.1584014892578,1636.327392578125,None,None,None
1713214584025125,None,None,None,1,-257.0080871582031,1635.2314453125,2,131.35232543945312,1636.9752197265625,None,None,None
1713214584028045,0.0,0.0,-0.0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
1713214584053711,None,None,None,1,-256.9854431152344,1635.0904541015625,2,131.14193725585938,1636.1512451171875,None,None,None
1713214584068504,0.0,0.0,-0.0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
1713214584079644,None,None,None,1,-256.77130126953125,1634.4632568359375,2,131.135009765625,1636.063232421875,None,None,None
1713214584107240,None,None,None,1,-256.9958801269531,1635.1707763671875,2,131.14915466308594,1636.2333984375,None,None,None
1713214584108906,0.0,0.0,-0.0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
1713214584133003,None,None,None,1,-256.743896484375,1634.3099365234375,2,131.16319274902344,1636.3795166015625,None,None,None
1713214584149438,0.0,0.0,-0.0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
1713214584160872,None,None,None,1,-256.7379150390625,1634.2762451171875,2,131.1603240966797,1636.3277587890625,None,None,None
1713214584189865,0.0,0.0,-0.0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
1713214584190014,None,None,None,1,-256.7377624511719,1634.2386474609375,2,131.16500854492188,1636.3990478515625,None,None,None
1713214584217622,None,None,None,1,-256.76641845703125,1634.392578125,2,131.16603088378906,1636.388916015625,None,None,None
1713214584231116,0.0,0.0,-0.0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
1713214584244926,None,None,None,1,-256.78509521484375,1634.5224609375,2,131.1570587158203,1636.2657470703125,None,None,None
1713214584271184,None,None,None,1,-257.0185852050781,1635.301025390625,2,131.1529541015625,1636.2432861328125,None,None,None
1713214584271511,0.0,0.0,-0.0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
1713214584297822,None,None,None,1,-257.43963623046875,1638.0252685546875,2,131.13604736328125,1636.0128173828125,None,None,None
1713214584311872,0.0,0.0,-0.0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
1713214584325522,None,None,None,1,-257.0322570800781,1635.38134765625,2,131.15245056152344,1636.251220703125,None,None,None
1713214584350811,None,None,None,1,-257.65631103515625,1639.416748046875,2,131.33131408691406,1636.6385498046875,None,None,None
1713214584352405,0.0,0.0,-0.0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
1713214584379340,None,None,None,1,-257.07806396484375,1635.65771484375,2,131.31568908691406,1636.447998046875,None,None,None
1713214584392826,0.0,0.0,-0.0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
1713214584405385,None,None,None,1,-257.0731201171875,1635.61962890625,2,131.114990234375,1635.8109130859375,None,None,None
1713214584429970,None,None,None,1,-257.0312194824219,1635.3721923828125,2,131.121337890625,1635.847412109375,None,None,None
1713214584433227,0.0,0.0,-0.0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
1713214584456690,None,None,None,1,-257.03802490234375,1635.40087890625,2,131.1266632080078,1635.9300537109375,None,None,None
1713214584473620,0.0,0.0,-0.0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
1713214584484539,None,None,None,1,-257.04534912109375,1635.45947265625,2,131.1083221435547,1635.6842041015625,None,None,None
1713214584510442,None,None,None,1,-257.0336608886719,1635.369873046875,2,131.1344757080078,1635.9837646484375,None,None,None
1713214584514960,0.0,0.0,-0.0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
1713214584538375,None,None,None,1,-257.01324462890625,1635.2476806640625,2,131.14727783203125,1636.143310546875,None,None,None
1713214584555484,0.0,0.0,-0.0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
1713214584567052,None,None,None,1,-257.0176086425781,1635.2650146484375,2,131.1383514404297,1636.0650634765625,None,None,None
1713214584595905,0.0,0.0,-0.0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
1713214584612388,None,None,None,1,-257.00299072265625,1635.1959228515625,2,131.14353942871094,1636.0894775390625,None,None,None
1713214584634622,0.0,0.0,-0.0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
1713214584642123,None,None,None,1,-256.9908447265625,1635.1005859375,2,131.34893798828125,1636.8712158203125,None,None,None
1713214584672573,None,None,None,1,-257.0174865722656,1635.2528076171875,2,131.35366821289062,1636.930908203125,None,None,None
1713214584675047,0.0,0.0,-0.0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
1713214584698344,None,None,None,1,-257.02508544921875,1635.3037109375,2,131.1507568359375,1636.2943115234375,None,None,None
1713214584715415,0.0,0.0,-0.0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
1713214584724380,None,None,None,1,-257.0345153808594,1635.3734130859375,2,131.1640625,1636.474609375,None,None,None
1713214584754661,None,None,None,1,-257.03045654296875,1635.35791015625,2,131.33050537109375,1636.71435546875,None,None,None
1713214584755948,0.0,0.0,-0.0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
1713214584782512,None,None,None,1,-257.5975341796875,1639.003662109375,2,131.1287078857422,1635.9876708984375,None,None,None
1713214584796382,0.0,0.0,-0.0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
1713214584809519,None,None,None,1,-257.0440673828125,1635.4356689453125,2,131.32684326171875,1636.594970703125,None,None,None
1713214584837650,0.0,0.0,-0.0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
1713214584838863,None,None,None,1,-257.0274658203125,1635.3240966796875,2,131.1073760986328,1635.6126708984375,None,None,None
1713214584865804,None,None,None,1,-257.01153564453125,1635.2261962890625,2,131.10968017578125,1635.6734619140625,None,None,None
1713214584878025,0.0,0.0,-0.0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
1713214584895759,None,None,None,1,-256.99798583984375,1635.136474609375,2,131.11697387695312,1635.797607421875,None,None,None
1713214584918429,0.0,0.0,-0.0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
1713214584922744,None,None,None,1,-257.0086669921875,1635.200927734375,2,131.1240692138672,1635.8582763671875,None,None,None
1713214584955721,None,None,None,1,-257.0044250488281,1635.203125,2,131.32313537597656,1636.592041015625,None,None,None
1713214584958949,0.0,0.0,-0.0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
1713214584987835,None,None,None,1,-257.03460693359375,1635.377685546875,2,131.32151794433594,1636.5731201171875,None,None,None
1713214584999364,0.0,0.0,-0.0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
1713214585016720,None,None,None,1,-257.0404968261719,1635.4263916015625,2,131.11798095703125,1635.81982421875,None,None,None
1713214585039755,0.0,0.0,-0.0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
1713214585047963,None,None,None,1,-257.0409240722656,1635.423095703125,2,131.13204956054688,1635.9947509765625,None,None,None
1713214585080090,None,None,None,1,-257.0737609863281,1635.6451416015625,2,131.12161254882812,1635.8321533203125,None,None,None
1713214585080134,0.0,0.0,-0.0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
1713214585111454,None,None,None,1,-257.06591796875,1635.5836181640625,2,131.1246795654297,1635.8831787109375,None,None,None
1713214585121512,0.0,0.0,-0.0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
1713214585142341,None,None,None,1,-257.0459899902344,1635.4716796875,2,131.1331024169922,1635.933349609375,None,None,None
1713214585162041,0.0,0.0,-0.0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
1713214585175721,None,None,None,1,-257.02398681640625,1635.338134765625,2,131.13031005859375,1635.8948974609375,None,None,None
1713214585202470,0.0,0.0,-0.0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
1713214585204741,None,None,None,1,-256.7984619140625,1634.5975341796875,2,131.11990356445312,1635.7659912109375,None,None,None
1713214585234157,None,None,None,1,-256.77325439453125,1634.41650390625,2,131.1247100830078,1635.8563232421875,None,None,None
1713214585242884,0.0,0.0,-0.0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
1713214585266534,None,None,None,1,-257.0137634277344,1635.24951171875,2,131.1160125732422,1635.7674560546875,None,None,None
1713214585283277,0.0,0.0,-0.0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
1713214585298115,None,None,None,1,-257.0384521484375,1635.3978271484375,2,131.1292724609375,1635.943603515625,None,None,None
1713214585323674,0.0,0.0,-0.0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
1713214585331191,None,None,None,1,-257.0160827636719,1635.25439453125,2,131.1248016357422,1635.89306640625,None,None,None
1713214585361414,None,None,None,1,-257.04486083984375,1636.1171875,2,131.11749267578125,1635.783447265625,None,None,None
1713214585364188,0.0,0.0,-0.0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
1713214585396485,None,None,None,1,-257.1608581542969,1636.1697998046875,2,131.11370849609375,1635.708984375,None,None,None
1713214585404600,0.0,0.0,-0.0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
1713214585423102,None,None,None,1,-257.1262512207031,1635.9632568359375,2,131.12017822265625,1635.76904296875,None,None,None
1713214585446226,0.0,0.0,-0.0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
