utime,type,odometry x,odometry y,odometry theta
1713214583460689,MBOT_ODOMETRY,0.0,0.0,0.0
1713214583501060,MBOT_ODOMETRY,0.0,0.0,0.0
1713214583541594,MBOT_ODOMETRY,0.0,0.0,0.0
1713214583582032,MBOT_ODOMETRY,0.0,0.0,0.0
1713214583623058,MBOT_ODOMETRY,0.0,0.0,0.0
1713214583663496,MBOT_ODOMETRY,0.0,0.0,0.0
1713214583703892,MBOT_ODOMETRY,0.0,0.0,0.0
1713214583744429,MBOT_ODOMETRY,0.0,0.0,0.0
1713214583784862,MBOT_ODOMETRY,0.0,0.0,0.0
1713214583825256,MBOT_ODOMETRY,0.0,0.0,0.0
1713214583865712,MBOT_ODOMETRY,0.0,0.0,0.0
1713214583906097,MBOT_ODOMETRY,0.0,0.0,0.0
1713214583947226,MBOT_ODOMETRY,0.0,0.0,0.0
1713214583987644,MBOT_ODOMETRY,0.0,0.0,0.0
1713214584028045,MBOT_ODOMETRY,0.0,0.0,0.0
1713214584068504,MBOT_ODOMETRY,0.0,0.0,0.0
1713214584108906,MBOT_ODOMETRY,0.0,0.0,0.0
1713214584149438,MBOT_ODOMETRY,0.0,0.0,0.0
1713214584189865,MBOT_ODOMETRY,0.0,0.0,0.0
1713214584231116,MBOT_ODOMETRY,0.0,0.0,0.0
1713214584271511,MBOT_ODOMETRY,0.0,0.0,0.0
1713214584311872,MBOT_ODOMETRY,0.0,0.0,0.0
1713214584352405,MBOT_ODOMETRY,0.0,0.0,0.0
1713214584392826,MBOT_ODOMETRY,0.0,0.0,0.0
1713214584433227,MBOT_ODOMETRY,0.0,0.0,0.0
1713214584473620,MBOT_ODOMETRY,0.0,0.0,0.0
1713214584514960,MBOT_ODOMETRY,0.0,0.0,0.0
1713214584555484,MBOT_ODOMETRY,0.0,0.0,0.0
1713214584595905,MBOT_ODOMETRY,0.0,0.0,0.0
1713214584634622,MBOT_ODOMETRY,0.0,0.0,0.0
1713214584675047,MBOT_ODOMETRY,0.0,0.0,0.0
1713214584715415,MBOT_ODOMETRY,0.0,0.0,0.0
1713214584755948,MBOT_ODOMETRY,0.0,0.0,0.0
1713214584796382,MBOT_ODOMETRY,0.0,0.0,0.0
1713214584837650,MBOT_ODOMETRY,0.0,0.0,0.0
1713214584878025,MBOT_ODOMETRY,0.0,0.0,0.0
1713214584918429,MBOT_ODOMETRY,0.0,0.0,0.0
1713214584958949,MBOT_ODOMETRY,0.0,0.0,0.0
1713214584999364,MBOT_ODOMETRY,0.0,0.0,0.0
1713214585039755,MBOT_ODOMETRY,0.0,0.0,0.0
1713214585080134,MBOT_ODOMETRY,0.0,0.0,0.0
1713214585121512,MBOT_ODOMETRY,0.0,0.0,0.0
1713214585162041,MBOT_ODOMETRY,0.0,0.0,0.0
1713214585202470,MBOT_ODOMETRY,0.0,0.0,0.0
1713214585242884,MBOT_ODOMETRY,0.0,0.0,0.0
1713214585283277,MBOT_ODOMETRY,0.0,0.0,0.0
1713214585323674,MBOT_ODOMETRY,0.0,0.0,0.0
1713214585364188,MBOT_ODOMETRY,0.0,0.0,0.0
1713214585404600,MBOT_ODOMETRY,0.0,0.0,0.0
1713214585446226,MBOT_ODOMETRY,0.0,0.0,0.0
1713214585486592,MBOT_ODOMETRY,0.0,0.0,0.0
1713214585526990,MBOT_ODOMETRY,0.0,0.0,0.0
1713214585567531,MBOT_ODOMETRY,0.0,0.0,0.0
1713214585607944,MBOT_ODOMETRY,0.0,0.0,0.0
1713214585649666,MBOT_ODOMETRY,0.0,0.0,0.0
1713214585691159,MBOT_ODOMETRY,0.0,0.0,0.0
1713214585731554,MBOT_ODOMETRY,0.0,0.0,0.0
1713214585772076,MBOT_ODOMETRY,0.0,0.0,0.0
1713214585812516,MBOT_ODOMETRY,0.0,0.0,0.0
1713214585852933,MBOT_ODOMETRY,0.0,0.0,0.0
1713214585893325,MBOT_ODOMETRY,0.0,0.0,0.0
1713214585933721,MBOT_ODOMETRY,0.0,0.0,0.0
1713214585974254,MBOT_ODOMETRY,0.0,0.0,0.0
1713214586014681,MBOT_ODOMETRY,0.0,0.0,0.0
1713214586055923,MBOT_ODOMETRY,0.0,0.0,0.0
1713214586096299,MBOT_ODOMETRY,0.0,0.0,0.0
1713214586136695,MBOT_ODOMETRY,0.0,0.0,0.0
1713214586177222,MBOT_ODOMETRY,0.0,0.0,0.0
1713214586217648,MBOT_ODOMETRY,0.0,0.0,0.0
1713214586258069,MBOT_ODOMETRY,0.0,0.0,0.0
1713214586298515,MBOT_ODOMETRY,0.0,0.0,0.0
1713214586339948,MBOT_ODOMETRY,0.0,0.0,0.0
1713214586380482,MBOT_ODOMETRY,0.0,0.0,0.0
1713214586420925,MBOT_ODOMETRY,0.0,0.0,0.0
1713214586461321,MBOT_ODOMETRY,0.0,0.0,0.0
1713214586501781,MBOT_ODOMETRY,0.0,0.0,0.0
1713214586542181,MBOT_ODOMETRY,0.0,0.0,0.0
1713214586582721,MBOT_ODOMETRY,0.0,0.0,0.0
1713214586623837,MBOT_ODOMETRY,0.0,0.0,0.0
1713214586664237,MBOT_ODOMETRY,0.0,0.0,0.0
1713214586704641,MBOT_ODOMETRY,0.0,0.0,0.0
1713214586745020,MBOT_ODOMETRY,0.0,0.0,0.0
1713214586785535,MBOT_ODOMETRY,0.0,0.0,0.0
1713214586825965,MBOT_ODOMETRY,0.0,0.0,0.0
1713214586866357,MBOT_ODOMETRY,0.0,0.0,0.0
1713214586907678,MBOT_ODOMETRY,0.0,0.0,0.0
1713214586948071,MBOT_ODOMETRY,0.0,0.0,0.0
1713214586988601,MBOT_ODOMETRY,0.0,0.0,0.0
1713214587029037,MBOT_ODOMETRY,0.0,0.0,0.0
1713214587069435,MBOT_ODOMETRY,0.0,0.0,0.0
1713214587109838,MBOT_ODOMETRY,0.0,0.0,0.0
1713214587150200,MBOT_ODOMETRY,0.0,0.0,0.0
1713214587190729,MBOT_ODOMETRY,0.0,0.0,0.0
1713214587232099,MBOT_ODOMETRY,0.0,0.0,0.0
1713214587272509,MBOT_ODOMETRY,0.0,0.0,0.0
1713214587312908,MBOT_ODOMETRY,0.0,0.0,0.0
1713214587353281,MBOT_ODOMETRY,0.0,0.0,0.0
1713214587393809,MBOT_ODOMETRY,0.0,0.0,0.0
1713214587434241,MBOT_ODOMETRY,0.0,0.0,0.0
1713214587474654,MBOT_ODOMETRY,0.0,0.0,0.0
1713214587515927,MBOT_ODOMETRY,0.0,0.0,0.0
1713214587556296,MBOT_ODOMETRY,0.0,0.0,0.0
1713214587596824,MBOT_ODOMETRY,0.0,0.0,0.0
1713214587635264,MBOT_ODOMETRY,0.0,0.0,0.0
1713214587675671,MBOT_ODOMETRY,0.0,0.0,0.0
1713214587716116,MBOT_ODOMETRY,0.0,0.0,0.0
