utime,vel vx,vel vy,vel wz,odometry x,odometry y,odometry theta,apriltag id,apriltag longitude,apriltag latitude,apriltag world_x,apriltag world_y
1712956854305190,0.2919100523,0,-1.954922318,2.028604984,0.5216236711,-0.8376531005,-1,-1,-1,-1,-1
1712956854345600,0.2897891104,0,-1.954680204,2.036362171,0.5130102634,-0.9158403277,-1,-1,-1,-1,-1
1712956854387050,0.2936466336,0,-1.944460154,2.043516874,0.5036948919,-0.9936187267,-1,-1,-1,-1,-1
1712956854427610,0.2876149118,0,-1.907011509,2.049794436,0.4940539598,-1.069899201,-1,-1,-1,-1,-1
1712956854468060,0.2936390042,0,-1.952553988,2.055434704,0.4837513268,-1.148001313,-1,-1,-1,-1,-1
1712956854508540,0.2924386561,0,-1.911393404,2.060234308,0.4730837941,-1.224457026,-1,-1,-1,-1,-1
1712956854548940,0.2918594778,0,-1.954583526,2.064197302,0.4621026218,-1.302640319,-1,-1,-1,-1,-1
1712956854589340,0.2919100523,0,-1.954922318,2.067291021,0.450843513,-1.380837202,-1,-1,-1,-1,-1
1712956854630730,0.2910899818,0,-1.960821509,2.069489479,0.4394093752,-1.45927,-1,-1,-1,-1,-1
1712956854671180,0.2884254754,0,-1.912385583,2.070773602,0.4279440343,-1.535765409,-1,-1,-1,-1,-1
1712956854711650,0.2893451154,0,-1.924950004,2.071178913,0.4163773358,-1.612763405,-1,-1,-1,-1,-1
1712956854752060,0.2792959213,0,-0.9904832244,2.070710182,0.405215323,-1.652382731,-1,-1,-1,-1,-1
1712956854792480,0.2834294736,0,-0.4282640815,2.06978631,0.3939158618,-1.669513345,-1,-1,-1,-1,-1
1712956854833030,0.291926533,0,-0.2268306315,2.068635464,0.3822956383,-1.678586602,-1,-1,-1,-1,-1
1712956854873470,0.2967995107,0,-0.1738790721,2.067358255,0.3704925478,-1.685541749,-1,-1,-1,-1,-1
1712956854913940,0.2799986303,0,0.01336870249,2.06607604,0.3593662679,-1.685006976,-1,-1,-1,-1,-1
1712956854954350,0.2824712992,0,-0.01338727493,2.064788342,0.3481410146,-1.685542464,-1,-1,-1,-1,-1
1712956854995100,0.2831527889,0,-0.02654514089,2.063491583,0.3368893862,-1.686604261,-1,-1,-1,-1,-1
1712956855035650,0.281489104,0,-0.0400220789,2.062190533,0.3257052302,-1.688205123,-1,-1,-1,-1,-1
1712956855076090,0.2854076028,0,-0.02675648965,2.060853243,0.3143675327,-1.689275384,-1,-1,-1,-1,-1
1712956855116500,0.2834995985,0,-0.0267731417,2.059512854,0.303107053,-1.69034636,-1,-1,-1,-1,-1
1712956855156840,0.2850427032,0,-0.04023035243,2.058152914,0.2917867303,-1.691955566,-1,-1,-1,-1,-1
1712956855197280,0.2812341154,0,-0.0267558489,2.056793213,0.2806198299,-1.693025827,-1,-1,-1,-1,-1
1712956855237830,0.2835315466,0,-0.01333898492,2.055410385,0.2693631947,-1.693559408,-1,-1,-1,-1,-1
1712956855278270,0.2802132666,0,-0.04013684765,2.054037809,0.2582390308,-1.695164919,-1,-1,-1,-1,-1
1712956855319360,0.2808171213,0,-0.05265247449,2.052644491,0.2470931113,-1.697270989,-1,-1,-1,-1,-1
1712956855359750,0.2815752923,0,-0.02678838372,2.051223755,0.2359200567,-1.698342562,-1,-1,-1,-1,-1
1712956855400160,0.2814498842,0,-0.05355294421,2.049791813,0.2247535139,-1.700484633,-1,-1,-1,-1,-1
