utime,type,apriltag id,apriltag x,apriltag y,apriltag z
1713050099081232,MBOT_APRILTAG_ARRAY,1,-569.291748046875,42.23815155029297,1697.9287109375
1713050099133284,MBOT_APRILTAG_ARRAY,1,-570.2952880859375,42.34223937988281,1701.1256103515625
1713050099178543,MBOT_APRILTAG_ARRAY,1,-570.2824096679688,42.33177947998047,1701.180908203125
1713050099221356,MBOT_APRILTAG_ARRAY,1,-570.1895141601562,42.32080841064453,1700.921875
1713050099264794,MBOT_APRILTAG_ARRAY,1,-570.508544921875,42.38792419433594,1702.3251953125
1713050099427623,MBOT_APRILTAG_ARRAY,1,-249.59815979003906,45.48468780517578,1768.435546875
1713050099471048,MBOT_APRILTAG_ARRAY,1,-252.2919158935547,45.07798385620117,1771.570068359375
1713050099510523,MBOT_APRILTAG_ARRAY,1,-252.2768096923828,45.09837341308594,1772.042724609375
1713050099549607,MBOT_APRILTAG_ARRAY,1,-252.5573272705078,45.17597198486328,1774.2940673828125
1713050099592047,MBOT_APRILTAG_ARRAY,1,-252.3354949951172,45.108192443847656,1772.787353515625
1713050099654955,MBOT_APRILTAG_ARRAY,1,-252.37908935546875,45.117889404296875,1773.110107421875
1713050099684660,MBOT_APRILTAG_ARRAY,1,-252.04624938964844,45.08542251586914,1771.950927734375
1713050099780333,MBOT_APRILTAG_ARRAY,1,-44.31548309326172,44.952362060546875,1730.051513671875
1713050099812434,MBOT_APRILTAG_ARRAY,1,-51.83163833618164,46.90931701660156,1787.767822265625
1713050099849185,MBOT_APRILTAG_ARRAY,1,-53.037105560302734,46.554325103759766,1787.73681640625
1713050099888356,MBOT_APRILTAG_ARRAY,1,-52.8568000793457,46.60039520263672,1787.156005859375
1713050099935159,MBOT_APRILTAG_ARRAY,1,-52.872047424316406,46.63908767700195,1788.725341796875
1713050099968603,MBOT_APRILTAG_ARRAY,1,-52.91914749145508,46.623226165771484,1791.21630859375
1713050100000361,MBOT_APRILTAG_ARRAY,1,-52.92979431152344,46.633323669433594,1791.5328369140625
1713050100036278,MBOT_APRILTAG_ARRAY,1,-52.92720413208008,46.63629913330078,1791.5848388671875
1713050100071747,MBOT_APRILTAG_ARRAY,1,-52.676448822021484,46.99166488647461,1789.5013427734375
1713050100212343,MBOT_APRILTAG_ARRAY,1,279.6568603515625,47.07179260253906,1757.845458984375
1713050100212343,MBOT_APRILTAG_ARRAY,3,-276.6690673828125,47.81573486328125,1770.8447265625
1713050100247396,MBOT_APRILTAG_ARRAY,1,280.0439758300781,47.16899108886719,1760.744140625
1713050100247396,MBOT_APRILTAG_ARRAY,3,-276.800537109375,47.82512664794922,1770.8541259765625
1713050100282098,MBOT_APRILTAG_ARRAY,1,280.0267028808594,47.16041946411133,1760.7347412109375
1713050100282098,MBOT_APRILTAG_ARRAY,3,-276.9286804199219,47.86280822753906,1771.80615234375
1713050100319770,MBOT_APRILTAG_ARRAY,1,279.99749755859375,47.16347885131836,1760.772705078125
1713050100319770,MBOT_APRILTAG_ARRAY,3,-277.01116943359375,47.88169479370117,1772.3116455078125
1713050100354170,MBOT_APRILTAG_ARRAY,1,280.0220031738281,47.16448974609375,1760.86328125
1713050100354170,MBOT_APRILTAG_ARRAY,3,-277.0084533691406,47.86254119873047,1772.3187255859375
1713050100387282,MBOT_APRILTAG_ARRAY,1,280.0533447265625,47.16757583618164,1760.9794921875
1713050100387282,MBOT_APRILTAG_ARRAY,3,-277.063720703125,47.85434341430664,1772.63720703125
1713050100438130,MBOT_APRILTAG_ARRAY,1,279.5936584472656,47.053436279296875,1758.3016357421875
1713050100438130,MBOT_APRILTAG_ARRAY,3,-277.0804443359375,47.85624694824219,1772.7802734375
1713050100469395,MBOT_APRILTAG_ARRAY,1,279.59710693359375,47.05031204223633,1758.3448486328125
1713050100469395,MBOT_APRILTAG_ARRAY,3,-276.9814147949219,47.851158142089844,1772.0904541015625
1713050100503317,MBOT_APRILTAG_ARRAY,1,279.5804748535156,47.046531677246094,1758.294921875
1713050100503317,MBOT_APRILTAG_ARRAY,3,-276.9422912597656,47.84422302246094,1771.818359375
1713050100536933,MBOT_APRILTAG_ARRAY,1,279.9748840332031,47.14401626586914,1760.5599365234375
1713050100536933,MBOT_APRILTAG_ARRAY,3,-276.8875427246094,47.8258056640625,1771.4420166015625
1713050100570171,MBOT_APRILTAG_ARRAY,1,279.9573669433594,47.13541793823242,1760.44384765625
1713050100570171,MBOT_APRILTAG_ARRAY,3,-276.8695983886719,47.81707763671875,1771.3212890625
1713050100605121,MBOT_APRILTAG_ARRAY,1,279.9676513671875,47.13010025024414,1760.4915771484375
1713050100605121,MBOT_APRILTAG_ARRAY,3,-276.9989318847656,47.844913482666016,1772.145263671875
1713050100642188,MBOT_APRILTAG_ARRAY,1,279.9344177246094,47.12828826904297,1760.36962890625
1713050100642188,MBOT_APRILTAG_ARRAY,3,-276.9061279296875,47.8160514831543,1771.50390625
1713050100689417,MBOT_APRILTAG_ARRAY,1,279.6389465332031,47.04104232788086,1758.689208984375
